Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2019/05/08 01:00:00,2019/05/08 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,11.2,11.2,µg-m3,,,,A,1
2019/05/08 02:00:00,2019/05/08 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.5,8.5,µg-m3,,,,A,1
2019/05/08 03:00:00,2019/05/08 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.4,8.4,µg-m3,,,,A,1
2019/05/08 04:00:00,2019/05/08 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.4,8.35,µg-m3,,,,A,1
2019/05/08 05:00:00,2019/05/08 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.3,8.3,µg-m3,,,,A,1
2019/05/08 06:00:00,2019/05/08 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,7.6,7.6,µg-m3,,,,A,1
2019/05/08 07:00:00,2019/05/08 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.3,8.275,µg-m3,,,,A,1
2019/05/08 08:00:00,2019/05/08 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,9.1,9.05,µg-m3,,,,A,1
2019/05/08 09:00:00,2019/05/08 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,15.0,14.95,µg-m3,,,,A,1
2019/05/08 10:00:00,2019/05/08 11:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,11.9,11.85,µg-m3,,,,A,1
2019/05/08 11:00:00,2019/05/08 12:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,6.0,5.975,µg-m3,,,,A,1
2019/05/08 12:00:00,2019/05/08 13:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,2.8,2.8,µg-m3,,,,A,1
2019/05/08 13:00:00,2019/05/08 14:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,2.9,2.9,µg-m3,,,,A,1
2019/05/08 14:00:00,2019/05/08 15:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,3.4,3.425,µg-m3,,,,A,1
2019/05/08 15:00:00,2019/05/08 16:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,3.8,3.75,µg-m3,,,,A,1
2019/05/08 16:00:00,2019/05/08 17:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,3.6,3.625,µg-m3,,,,A,1
2019/05/08 17:00:00,2019/05/08 18:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,4.0,3.95,µg-m3,,,,A,1
2019/05/08 18:00:00,2019/05/08 19:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,5.6,5.575,µg-m3,,,,A,1
2019/05/08 19:00:00,2019/05/08 20:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,9.9,9.875,µg-m3,,,,A,1
2019/05/08 20:00:00,2019/05/08 21:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,18.6,18.6,µg-m3,,,,A,1
2019/05/08 21:00:00,2019/05/08 22:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,13.7,13.7,µg-m3,,,,A,1
2019/05/08 22:00:00,2019/05/08 23:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.7,8.7,µg-m3,,,,A,1
2019/05/08 23:00:00,2019/05/09 00:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.8,8.775,µg-m3,,,,A,1
2019/05/08 00:00:00,2019/05/08 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 01:00:00,2019/05/08 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 02:00:00,2019/05/08 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 03:00:00,2019/05/08 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 04:00:00,2019/05/08 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 05:00:00,2019/05/08 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 06:00:00,2019/05/08 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
2019/05/08 07:00:00,2019/05/08 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,NO2,Trafic,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,,,µg-m3,,,,N,-1
